reminder,reply,intent,dpd,amount,loan,tone,region,ptp_date,ptp_amount,dispute_type,excuse_type,cibil_mentioned,legal_mentioned
"Hi Rohan, ₹4200 EMI 11 din se overdue hai. Late fees lag rahi hai. Pakka settlement karne ke liye turant UPI link bhejta hoon.","Yaar bhai, mummy hospital mein hain aur ghar mein paisa nahi h, 15 din mein zarur kar dunga 🙏",needs_more_time,11,4200,credit line EMI,polite,delhi,15 din mein,,,family_health_issue,False,False
Sandeep ji ₹4800 ki EMI 20 din se pending hai. CIBIL score par asar pad sakta hai. UPI payment karein.,"Sorry sir, maine 5 din pehle payment kar diya tha. Aapke system mein issue hai 😊",dispute,20,4800,mobile loan EMI,desperate,bangalore,,,payment not reflected,technical issue,True,False
"Re, Karan ji, aapka ₹4500 ka BNPL payment due hai. Late fees bhi lagech. Jaldi karein.","Kya yeh amount sahi hai? Mera loan 4000 ka tha, extra charges kyun?",dispute,9,4500,BNPL payment,angry,pune,,,incorrect amount,billing error,False,False
"Boss ₹15000 overdue hai, 44 days ho gaye hain. Late fees bhi lag rahi hai. UPI se payment karein please.","Nahi kar sakta abhi, jo karna ho karo.",refusal,44,15000,mobile loan EMI,angry,hyderabad,,,,,False,False
"Namaskara Rohan ji, ₹11000 EMI kal due thi. Aaj tak nahi aayi. UPI se kar dein: rzp.io/pay. CIBIL score kharab hoga","dekho sir, kal office se baahar tha. Aaj kar deta hoon, thoda time do",promise_to_pay,62,11000,bike loan EMI,polite,bangalore,today,11000.0,,office work,True,False
"₹9000 EMI overdue hai, 67 days ho gaye hain. Full payment karein ya humein settlement ke liye call karein. Legal notice aa sakta hai.","Sorry boss ₹3000 abhi bhej sakta hun, baaki 10 din mein pakka, please samajh lein",partial_payment,67,9000,BNPL payment,worried,hyderabad,10 days,3000.0,,,False,True
"Kunal ji, ₹2800 EMI 16 din ho gaye. Late fees bhi lag sakti hai. UPI se kar dein, CIBIL score kharaab ho jayega: rzp.io/pay","Bhai, thoda time do, settlement karne ko taiyar hoon",promise_to_pay,16,2800,mobile loan EMI,cooperative,mumbai,thoda time,2800.0,settlement,vague,True,False
"Kumar ji ₹22000 pending hai, 54 din ho gaye. RBI guidelines ke mutabiq ab toh action lena padega.","Kya karein sir, abhi paisa nahi hai. Ek baar court mein milte hain",refusal,54,22000,bike loan EMI,angry,bangalore,,,,aggressive,False,True
Rajesh ji ₹3800 BNPL payment 23 din se pending hai. Settlement karne se late fees maaf karwa sakte hain. Definitely consider karein.,"enti, boss, 10 din aur do, mummy ki tabiyat kharab hai",needs_more_time,23,3800,BNPL payment,cooperative,hyderabad,10 days,,,family_emergency,False,False
₹10000 pending hai aapke BNPL payment mein. 43 days ho gaye hain overdue. Please UPI se payment karein.,bekku sir ₹5000 abhi ₹5000 10th ko bhejunga.,partial_payment,43,10000,BNPL payment,resigned,bangalore,10th,5000.0,,temporary financial difficulty,False,False
Arre Rohan ji 14 din ho gaye ₹4000 EMI ke. CIBIL affect ho sakta hai. Aapne kab tak payment karne ka socha hai? UPI link hai: rzp.io/pay,"Nako bhai, Friday ko salary aayegi, usse pehle kar dunga 🙏",promise_to_pay,14,4000,mobile loan EMI,cooperative,mumbai,Friday,4000.0,,salary_pending,True,False
"Raj ji, ₹2200 EMI kal due thi. Abhi tak nahi aayi. Late fees bhi lag raha hai. UPI maadtini: rzp.io/pay","arre bhai, office ka kaam bahut hai. Weekend pe kar dunga",promise_to_pay,22,2200,business loan EMI,evasive,bangalore,weekend,,,office work,False,False
"Rahul ji, ₹9000 EMI kal due thi. Aaj tak nahi aayi. Late fees ₹500 lag gaya. Abhi karein: rzp.io/pay","dekho sir, thoda time do. Settlement karenge, kuch kam amount par. Next week",promise_to_pay,62,9000,bike loan EMI,cooperative,bangalore,next week,,,request for settlement,False,False
"Manoj ji ₹8000 business loan EMI 28 din se overdue hai. Pakka aaj settle karein, nahi to CIBIL score aur kharab ho jayega.","Bhai ₹5000 abhi dete hoon, baaki ₹3000 agle mahine.",needs_more_time,28,8000,business loan EMI,cooperative,chennai,1 month,3000.0,,cash flow problem,True,False
"Arre, Amit ji ₹10000 EMI 43 din se pending hai. ₹5000 abhi bhej sakte hain? Settlement ke liye ₹2000 ki penalty lagegi","Nako, re, ₹5000 abhi nahi ho payega. ₹2500 abhi bhej raha hun, baaki 18 din mein pakka. Settlement ke liye ₹2000 ki penalty nahi dena",partial_payment,43,10000,business loan EMI,angry,mumbai,18,7500.0,,temporary financial difficulty,False,False
Anna ₹6000 ka EMI 54 din se overdue hai. Aapka CIBIL score affect ho sakta hai. Settlement offer hai - ₹5000 abhi kar dein aur case close ho jayega: rzp.io/pay,Boss ₹5000 abhi nahi ho payega. Thoda time do. Main next month zaroor kar dunga. 🙏,promise_to_pay,54,6000,BNPL payment,evasive,hyderabad,,,,,True,False
"Suresh ji aapka ₹9000 personal loan EMI 5 din se overdue hai. Aaj hi payment karein, nahi to settlement option bhi band ho jayega.","Bhai ₹4500 kar sakte hain, 5 din baad ₹4500 aur kar dunga. Kya aap payment link bhej sakte hain?",needs_more_time,5,9000,personal loan EMI,evasive,hyderabad,5 days,4500.0,,partial payment,False,False
