intent,tone,dpd,amount,risk_score,risk_level,amount_at_risk,action
promise_to_pay,firm,24,10000,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,evasive,3,4200,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,evasive,3,3800,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,worried,22,8000,0.125,LOW,1000.0,STANDARD_FOLLOWUP
promise_to_pay,evasive,22,6000,0.125,LOW,750.0,STANDARD_FOLLOWUP
promise_to_pay,polite,38,4200,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,polite,38,1800,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,cooperative,31,12000,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,desperate,20,900,0.125,LOW,112.5,STANDARD_FOLLOWUP
promise_to_pay,worried,55,4500,0.125,LOW,562.5,STANDARD_FOLLOWUP
promise_to_pay,polite,30,12000,0.125,LOW,1500.0,STANDARD_FOLLOWUP
promise_to_pay,polite,30,3800,0.125,LOW,475.0,STANDARD_FOLLOWUP
promise_to_pay,desperate,30,8000,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,polite,15,28000,0.125,LOW,3500.0,STANDARD_FOLLOWUP
promise_to_pay,resigned,22,4200,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,cooperative,62,13000,0.125,LOW,1625.0,STANDARD_FOLLOWUP
promise_to_pay,polite,14,3500,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,desperate,14,2500,0.125,LOW,312.5,STANDARD_FOLLOWUP
promise_to_pay,polite,10,2500,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,polite,21,3800,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,angry,21,12000,0.125,LOW,1500.0,STANDARD_FOLLOWUP
promise_to_pay,resigned,21,4800,0.125,LOW,600.0,STANDARD_FOLLOWUP
promise_to_pay,polite,88,12000,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,cooperative,88,9000,0.125,LOW,1125.0,STANDARD_FOLLOWUP
promise_to_pay,polite,47,12000,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,desperate,68,4500,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,cooperative,68,2000,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,worried,45,12000,0.125,LOW,1500.0,STANDARD_FOLLOWUP
promise_to_pay,desperate,81,4500,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,polite,81,10000,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,worried,3,5000,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,worried,9,4200,0.125,LOW,525.0,STANDARD_FOLLOWUP
promise_to_pay,evasive,54,6000,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,cooperative,89,8000,0.125,LOW,1000.0,STANDARD_FOLLOWUP
promise_to_pay,polite,25,12000,0.125,LOW,1500.0,STANDARD_FOLLOWUP
promise_to_pay,polite,25,4500,0.0,LOW,0.0,STANDARD_FOLLOWUP
promise_to_pay,worried,8,10000,0.25,HIGH,2500.0,ESCALATE_NOW
needs_more_time,polite,70,8500,0.125,LOW,1062.5,STANDARD_FOLLOWUP
needs_more_time,polite,11,4200,0.125,LOW,525.0,STANDARD_FOLLOWUP
needs_more_time,desperate,7,12000,0.125,LOW,1500.0,STANDARD_FOLLOWUP
needs_more_time,worried,29,9500,0.125,LOW,1187.5,STANDARD_FOLLOWUP
needs_more_time,evasive,27,10000,0.0,LOW,0.0,STANDARD_FOLLOWUP
needs_more_time,polite,12,4500,0.125,LOW,562.5,STANDARD_FOLLOWUP
needs_more_time,desperate,33,9000,0.125,LOW,1125.0,STANDARD_FOLLOWUP
needs_more_time,desperate,41,13000,0.125,LOW,1625.0,STANDARD_FOLLOWUP
needs_more_time,cooperative,52,9000,0.0,LOW,0.0,STANDARD_FOLLOWUP
needs_more_time,polite,27,22000,0.125,LOW,2750.0,STANDARD_FOLLOWUP
needs_more_time,polite,27,10000,0.125,LOW,1250.0,STANDARD_FOLLOWUP
needs_more_time,polite,3,2500,0.125,LOW,312.5,STANDARD_FOLLOWUP
needs_more_time,worried,24,14000,0.125,LOW,1750.0,STANDARD_FOLLOWUP
needs_more_time,desperate,49,32000,0.0,LOW,0.0,STANDARD_FOLLOWUP
needs_more_time,cooperative,49,42000,0.125,LOW,5250.0,STANDARD_FOLLOWUP
needs_more_time,evasive,49,28000,0.0,LOW,0.0,STANDARD_FOLLOWUP
needs_more_time,resigned,23,2700,0.125,LOW,337.5,STANDARD_FOLLOWUP
needs_more_time,polite,85,8500,0.125,LOW,1062.5,STANDARD_FOLLOWUP
needs_more_time,cooperative,9,12000,0.0,LOW,0.0,STANDARD_FOLLOWUP
needs_more_time,polite,59,8500,0.0,LOW,0.0,STANDARD_FOLLOWUP
needs_more_time,cooperative,38,12000,0.0,LOW,0.0,STANDARD_FOLLOWUP
needs_more_time,evasive,38,22000,0.125,LOW,2750.0,STANDARD_FOLLOWUP
needs_more_time,polite,20,12000,0.0,LOW,0.0,STANDARD_FOLLOWUP
needs_more_time,evasive,20,10000,0.0,LOW,0.0,STANDARD_FOLLOWUP
needs_more_time,cooperative,49,35000,0.125,LOW,4375.0,STANDARD_FOLLOWUP
needs_more_time,cooperative,85,12500,0.0,LOW,0.0,STANDARD_FOLLOWUP
needs_more_time,worried,49,15000,0.125,LOW,1875.0,STANDARD_FOLLOWUP
needs_more_time,cooperative,11,7200,0.125,LOW,900.0,STANDARD_FOLLOWUP
needs_more_time,polite,14,8000,0.125,LOW,1000.0,STANDARD_FOLLOWUP
partial_payment,cooperative,67,15000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,resigned,31,15000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,desperate,90,8000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,cooperative,85,12000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,angry,40,20000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,worried,40,10000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,polite,36,15000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,worried,47,9000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,desperate,6,9000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,desperate,31,8000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,cooperative,31,10000,0.125,LOW,1250.0,STANDARD_FOLLOWUP
partial_payment,polite,43,12000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,angry,43,10000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,cooperative,9,12000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,worried,9,9000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,worried,28,25000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,desperate,28,18000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,cooperative,82,12000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,polite,24,15000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,cooperative,19,12000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,resigned,19,18000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,angry,75,11000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,polite,1,8000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,polite,40,12500,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,desperate,40,18000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,polite,28,25000,0.0,LOW,0.0,STANDARD_FOLLOWUP
partial_payment,polite,36,12000,0.0,LOW,0.0,STANDARD_FOLLOWUP
